BOTTLE,20240829CCHHYDRO
33RR20220613  ,P02E       ,125     ,  1,9          ,9          ,2,20220619,0302,  30.0000,-157.1710,     5941,      3.5,2,  25.1023,2,  35.2616,2,     -999,9,    209.7,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  25.1022,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0110,1,   0.0097,1,     -999,9,20220619,0332,  30.0000,-157.1710,-999          ,1,-999          ,9,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  1,12         ,12         ,2,20220619,0302,  30.0000,-157.1710,     5941,      3.5,2,  25.0997,2,  35.2621,2,     -999,9,    209.7,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,1,     -999,1,     -999,9,     -999,9,     -999,9,   0.0122,1,   0.0097,1,     -999,9,20220619,0332,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  1,19         ,39         ,2,20220619,0302,  30.0000,-157.1710,     5941,      3.5,2,  25.1056,2,  35.2623,2,     -999,9,    209.7,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,1,     -999,9,   0.0118,1,   0.0097,1,     -999,9,20220619,0332,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  1,18         ,18         ,2,20220619,0302,  30.0000,-157.1710,     5941,      3.6,2,  25.1074,2,  35.2619,2,     -999,9,    209.6,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,1,     -999,9,   0.0110,1,   0.0097,1,     -999,9,20220619,0332,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  1,15         ,15         ,2,20220619,0302,  30.0000,-157.1710,     5941,      3.7,2,  25.1016,2,  35.2619,2,     -999,9,    209.6,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  25.1066,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,     -999,9,   0.0115,1,   0.0097,1,     -999,9,20220619,0332,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  1,10         ,10         ,2,20220619,0302,  30.0000,-157.1710,     5941,      3.7,2,  25.1030,2,  35.2619,2,     -999,9,    209.7,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0111,1,   0.0097,1,     -999,9,20220619,0332,  30.0000,-157.1710,-999          ,9,-999          ,1,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  1,17         ,37         ,2,20220619,0302,  30.0000,-157.1710,     5941,      3.7,2,  25.1063,2,  35.2621,2,     -999,9,    209.7,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,1,     -999,9,   0.0114,1,   0.0097,1,     -999,9,20220619,0332,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  1,13         ,13         ,2,20220619,0302,  30.0000,-157.1710,     5941,      3.8,2,  25.1005,2,  35.2622,2,     -999,9,    209.8,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,1,     -999,1,     -999,9,     -999,9,     -999,9,   0.0112,1,   0.0097,1,     -999,9,20220619,0332,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  1,8          ,8          ,2,20220619,0302,  30.0000,-157.1710,     5941,     40.2,2,  24.0275,2,  35.2669,2,     -999,9,    218.4,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  24.0290,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   0.0097,1,     -999,9,20220619,0330,  30.0000,-157.1710,-999          ,1,-999          ,9,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  1,7          ,7          ,2,20220619,0302,  30.0000,-157.1710,     5941,     75.6,2,  21.8244,2,  35.2546,2,     -999,9,    223.2,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  21.8199,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0116,1,   0.0096,1,     -999,9,20220619,0327,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  1,5          ,5          ,2,20220619,0302,  30.0000,-157.1710,     5941,    101.9,2,  21.0350,2,  35.1958,2,     -999,9,    218.1,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  21.0369,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0110,1,   0.0096,1,     -999,9,20220619,0324,  30.0000,-157.1710,-999          ,1,-999          ,9,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  1,6          ,6          ,2,20220619,0302,  30.0000,-157.1710,     5941,    101.9,2,  21.0345,2,  35.1970,2,     -999,9,    218.0,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0110,1,   0.0097,1,     -999,9,20220619,0324,  30.0000,-157.1710,-999          ,9,-999          ,1,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  1,4          ,4          ,2,20220619,0302,  30.0000,-157.1710,     5941,    151.9,2,  18.8558,2,  34.9213,2,     -999,9,    211.1,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  18.8614,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0110,1,   0.0096,1,     -999,9,20220619,0323,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  1,3          ,3          ,2,20220619,0302,  30.0000,-157.1710,     5941,    202.7,2,  16.1829,2,  34.5794,2,     -999,9,    202.4,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  16.1944,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0112,1,   0.0097,1,     -999,9,20220619,0320,  30.0000,-157.1710,-999          ,9,-999          ,1,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  1,2          ,2          ,2,20220619,0302,  30.0000,-157.1710,     5941,    504.0,2,   8.0025,2,  34.0276,2,     -999,9,    164.4,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   8.0109,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0110,1,   0.0096,1,     -999,9,20220619,0313,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  1,1          ,1          ,2,20220619,0302,  30.0000,-157.1710,     5941,   1017.1,2,   3.6717,2,  34.3494,2,     -999,9,     11.6,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   3.6728,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0113,1,   0.0096,1,     -999,9,20220619,0302,  30.0000,-157.1710,-999          ,9,-999          ,1,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  2,36         ,36         ,2,20220619,0616,  30.0000,-157.1710,     5941,      2.9,2,  25.0843,2,  35.2658,2,  35.2645,2,    210.2,2,    210.2,2,     0.59,2,     0.02,2,     0.00,2,     0.00,3,    1.654,2,    1.022,2,   1.6874,2,   2019.8,6,   2319.9,2,   8.0354,2,    25.02,2,     -999,9,  25.0827,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6423,1,      6.9,2,20220619,0916,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  2,35         ,35         ,2,20220619,0616,  30.0000,-157.1710,     5941,     35.3,2,  25.0201,2,  35.2686,2,  35.2678,2,    210.4,2,    210.8,2,     0.59,2,     0.02,2,     0.00,2,     0.00,3,    1.673,2,    1.020,2,   1.6993,2,   2016.7,2,   2320.9,2,   8.0353,2,    25.01,2,     -999,9,  25.0165,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0135,1,   4.6400,1,      6.9,2,20220619,0913,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  2,34         ,34         ,2,20220619,0616,  30.0000,-157.1710,     5941,     60.7,2,  23.2460,2,  35.2815,2,  35.2798,2,    224.9,2,    224.4,2,     0.49,2,     0.00,2,     0.00,2,     0.00,3,    1.817,2,    1.098,2,   1.7452,2,   2021.9,2,   2320.3,2,   8.0308,2,    25.03,2,     -999,9,  23.2137,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0163,1,   4.6184,1,      7.4,2,20220619,0911,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  2,33         ,33         ,2,20220619,0616,  30.0000,-157.1710,     5941,     86.8,2,  21.7361,2,  35.2378,2,  35.2389,2,    222.4,2,    222.3,2,     0.59,2,     0.00,2,     0.00,2,     0.00,3,    1.886,2,    1.148,2,   1.7739,2,   2032.7,2,   2319.7,6,   8.0120,2,    25.02,2,     -999,9,  21.7239,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0176,1,   4.6457,1,      7.7,2,20220619,0909,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  2,32         ,32         ,2,20220619,0616,  30.0000,-157.1710,     5941,    116.9,2,  20.6493,2,  35.1560,2,  35.1581,2,    217.4,2,    217.8,2,     0.78,2,     0.00,2,     0.00,2,     0.03,3,    1.939,2,    1.191,2,   1.8727,2,   2040.8,2,   2313.5,2,   7.9873,2,    25.02,2,     -999,9,  20.6432,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0220,1,   4.6540,1,      8.1,2,20220619,0906,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  2,31         ,31         ,2,20220619,0616,  30.0000,-157.1710,     5941,    166.5,2,  18.3998,2,  34.8501,3,  34.8172,2,    206.3,2,    205.9,2,     1.96,2,     1.60,2,     0.04,2,     0.15,3,    2.161,2,    1.321,2,   2.0125,2,   2061.2,2,   2289.3,2,   7.9184,2,    25.01,2,     -999,9,  18.3742,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0244,1,   4.6690,1,     10.0,2,20220619,0904,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  2,30         ,40         ,2,20220619,0616,  30.0000,-157.1710,     5941,    217.8,2,  15.5251,2,  34.5104,2,  34.5068,2,    204.2,2,    204.8,2,     4.50,2,     4.92,2,     0.01,2,     0.34,3,    2.429,2,    1.470,2,   2.0101,2,   2072.8,2,   2269.8,2,   7.8598,2,    25.02,2,     -999,9,  15.5482,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0147,1,   4.6823,1,     13.3,2,20220619,0902,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  2,29         ,29         ,2,20220619,0616,  30.0000,-157.1710,     5941,    268.2,2,  13.5122,2,  34.3486,2,  34.3450,2,    215.0,2,    214.0,2,     7.24,2,     7.87,2,     0.00,2,     0.49,3,    2.727,2,    1.575,2,   2.0816,2,   2079.5,2,   2261.5,2,   7.8287,2,    25.01,2,     -999,9,  13.5521,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.6884,1,     14.6,2,20220619,0859,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  2,28         ,28         ,2,20220619,0616,  30.0000,-157.1710,     5941,    318.1,2,  12.2268,2,  34.2486,2,  34.2473,2,    209.0,2,    208.8,2,    10.37,2,    10.93,2,     0.00,2,     0.67,3,    2.815,2,    1.669,2,   1.9434,2,   2098.3,2,   2260.7,6,   7.7886,2,    25.01,2,     -999,9,  12.2199,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.6904,1,     16.0,2,20220619,0857,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  2,27         ,27         ,2,20220619,0616,  30.0000,-157.1710,     5941,    368.4,2,  10.9510,2,  34.1610,2,  34.1558,2,    207.0,2,    207.1,2,    13.79,2,    13.61,2,     0.00,2,     0.82,3,    2.967,2,    1.747,2,   1.9006,2,   2107.6,2,   2258.9,2,   7.7510,2,    25.00,2,     -999,9,  11.0240,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.6925,1,     18.7,2,20220619,0854,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  2,26         ,26         ,2,20220619,0616,  30.0000,-157.1710,     5941,    438.5,2,   9.5578,2,  34.0891,2,  34.0787,2,    195.0,2,    195.0,2,    22.50,2,    18.01,2,     0.00,2,     1.11,3,    2.988,2,    1.756,2,   1.5464,2,   2136.3,2,   2262.5,2,   7.6923,2,    25.00,2,     -999,9,   9.4869,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.6953,1,     21.9,2,20220619,0851,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  2,25         ,25         ,2,20220619,0616,  30.0000,-157.1710,     5941,    541.3,2,   7.5768,2,  34.0153,2,  34.0159,2,    150.8,2,    151.4,2,    40.11,2,    25.91,2,     0.00,2,     1.62,3,    2.710,2,    1.560,2,   1.0389,2,   2189.1,2,   2275.6,2,   7.5733,2,    25.00,2,     -999,9,   7.5935,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0124,1,   4.6965,1,     28.6,2,20220619,0847,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  2,24         ,24         ,2,20220619,0616,  30.0000,-157.1710,     5941,    639.6,2,   5.7935,2,  33.9980,2,  33.9965,2,    105.4,3,    104.3,2,    63.88,2,    33.61,2,     0.00,2,     2.18,3,    2.065,2,    1.176,2,   0.6761,2,   2237.8,2,   2290.9,2,   7.4488,2,    25.01,2,     -999,9,   5.8352,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6982,1,     36.3,2,20220619,0845,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  2,23         ,23         ,2,20220619,0616,  30.0000,-157.1710,     5941,    742.5,2,   4.7179,2,  34.0889,2,  34.0885,2,     48.3,3,     50.1,2,    89.02,2,    40.13,2,     0.00,2,     2.67,3,    1.011,2,    0.556,2,   0.2157,2,   2306.4,2,   2316.1,2,   7.3412,2,    25.01,2,     -999,9,   4.7219,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6983,1,     47.1,2,20220619,0841,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  2,22         ,22         ,2,20220619,0616,  30.0000,-157.1710,     5941,    843.2,2,   4.2142,2,  34.1952,2,  34.1954,2,     22.8,2,     23.0,2,   105.93,2,    42.90,2,     0.00,2,     2.92,3,    0.340,2,    0.194,2,   0.0000,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   4.2151,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6988,1,     55.2,2,20220619,0838,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  2,21         ,21         ,2,20220619,0616,  30.0000,-157.1710,     5941,    943.8,2,   3.9169,2,  34.2911,2,  34.2921,2,     12.8,3,     12.5,2,   116.88,2,    44.00,2,     0.00,2,     3.06,3,    0.081,2,    0.049,2,   0.0000,2,   2358.3,2,   2351.7,2,   7.2946,2,    25.02,2,     -999,9,   3.9144,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6983,1,     59.6,2,20220619,0834,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,125     ,  2,20         ,20         ,2,20220619,0616,  30.0000,-157.1710,     5941,   1045.7,2,   3.5913,2,  34.3615,2,  34.3633,2,     12.5,3,     12.0,2,   126.46,2,    44.29,2,     0.00,2,     3.12,3,    0.023,2,    0.022,2,   0.0000,2,   2367.2,2,   2366.9,2,   7.3013,2,    25.00,2,     -999,9,   3.5921,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6983,1,     64.7,2,20220619,0831,  30.0000,-157.1710,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
